"","ID_UC_G0","bin","count","GC_UCN_MAI_2025","GC_CNT_GAD_2025","city_country","prop"
"160",3562,"p0.8_1",1819,"Tshikapa","Democratic Republic of the Congo","Tshikapa (Democratic Republic of the Congo)",0.00695764595182815
"161",3570,"p0_0.2",3698776,"Dar es-Salaam","Tanzania","Dar es-Salaam (Tanzania)",0.679447569610855
"162",3570,"p0.2_0.4",999034,"Dar es-Salaam","Tanzania","Dar es-Salaam (Tanzania)",0.183517797038428
"163",3570,"p0.4_0.6",393348,"Dar es-Salaam","Tanzania","Dar es-Salaam (Tanzania)",0.0722561578779819
"164",3570,"p0.6_0.8",175791,"Dar es-Salaam","Tanzania","Dar es-Salaam (Tanzania)",0.0322919711032681
"165",3570,"p0.8_1",176850,"Dar es-Salaam","Tanzania","Dar es-Salaam (Tanzania)",0.032486504369467
"166",3673,"p0_0.2",325624,"Zanzibar City","Tanzania","Zanzibar City (Tanzania)",0.471063416722965
"167",3673,"p0.2_0.4",171720,"Zanzibar City","Tanzania","Zanzibar City (Tanzania)",0.248418451710155
"168",3673,"p0.4_0.6",64554,"Zanzibar City","Tanzania","Zanzibar City (Tanzania)",0.0933869364762251
"169",3673,"p0.6_0.8",54436,"Zanzibar City","Tanzania","Zanzibar City (Tanzania)",0.0787497486448522
"170",3673,"p0.8_1",74919,"Zanzibar City","Tanzania","Zanzibar City (Tanzania)",0.108381446445802
"171",3809,"p0_0.2",1312930,"Soshanguve","South Africa","Soshanguve (South Africa)",0.581302834190576
"172",3809,"p0.2_0.4",686104,"Soshanguve","South Africa","Soshanguve (South Africa)",0.303774153800653
"173",3809,"p0.4_0.6",239857,"Soshanguve","South Africa","Soshanguve (South Africa)",0.106197248825489
"174",3809,"p0.6_0.8",19145,"Soshanguve","South Africa","Soshanguve (South Africa)",0.00847649361396158
"175",3809,"p0.8_1",563,"Soshanguve","South Africa","Soshanguve (South Africa)",0.000249269569321513
"176",39,"p0_0.2",1022692,"Dakar","Senegal","Dakar (Senegal)",0.578653532235843
"177",39,"p0.2_0.4",308456,"Dakar","Senegal","Dakar (Senegal)",0.174528747598827
"178",39,"p0.4_0.6",180755,"Dakar","Senegal","Dakar (Senegal)",0.102273723877071
"179",39,"p0.6_0.8",128724,"Dakar","Senegal","Dakar (Senegal)",0.0728338515247275
"180",39,"p0.8_1",126738,"Dakar","Senegal","Dakar (Senegal)",0.0717101447635322
